,userId,movieId,rating
0,1,25947,6.0186186
1,1,33649,5.895395
2,1,7767,5.871654
3,1,26326,5.8630323
4,1,3379,5.81366
5,1,136469,5.7643204
6,1,5416,5.747397
7,1,5328,5.747397
8,1,3951,5.747397
9,1,132333,5.7422757
10,2,6818,5.492198
11,2,104875,5.31517
12,2,7121,5.1465874
13,2,40491,5.14233
14,2,8477,5.0827937
15,2,1046,5.006805
16,2,87234,4.9876356
17,2,93008,4.968976
18,2,77846,4.968976
19,2,25906,4.968976
20,3,99764,5.719799
21,3,158783,5.3215575
22,3,40491,5.291816
23,3,70946,5.246525
24,3,143367,5.22402
25,3,148881,5.1335454
26,3,5919,5.0801725
27,3,6835,5.076296
28,3,5746,5.076296
29,3,5181,5.008645
30,4,2068,5.427311
31,4,25850,5.3776555
32,4,27563,5.2856603
33,4,5222,5.2846756
34,4,53,5.282811
35,4,72167,5.2629995
36,4,25825,5.1933923
37,4,104875,5.1901174
38,4,7815,5.1303844
39,4,7700,5.1139812
40,5,25947,4.904671
41,5,132333,4.848554
42,5,5490,4.848554
43,5,26326,4.8273907
44,5,7767,4.72986
45,5,6201,4.715602
46,5,4495,4.715602
47,5,33649,4.7077117
48,5,5915,4.7042255
49,5,3473,4.7036753
50,6,25947,5.3154
51,6,26326,5.0986276
52,6,2936,4.994725
53,6,132333,4.9706607
54,6,5490,4.9706607
55,6,30803,4.9669337
56,6,4617,4.9503617
57,6,4789,4.9459133
58,6,177593,4.9011517
59,6,173145,4.8844595
60,7,4789,5.6761136
61,7,25947,5.513183
62,7,26326,5.3697605
63,7,26258,5.1443844
64,7,3925,5.1071963
65,7,6818,5.0712056
66,7,1237,5.0372863
67,7,3379,4.951837
68,7,40491,4.9339476
69,7,8477,4.9293723
70,8,25947,5.098831
71,8,26326,4.9981785
72,8,33649,4.892013
73,8,7767,4.8908534
74,8,3379,4.8708873
75,8,132333,4.868233
76,8,5490,4.868233
77,8,5416,4.847049
78,8,5328,4.847049
79,8,3951,4.847049
80,9,213,5.689831
81,9,89904,5.3239527
82,9,102217,5.145228
83,9,92494,5.145228
84,9,26171,5.094165
85,9,136469,5.087852
86,9,6201,5.0619907
87,9,4495,5.0619907
88,9,89759,5.0361834
89,9,7767,5.0354514
90,10,86320,5.6283135
91,10,112804,5.311315
92,10,67618,5.1767836
93,10,3086,5.1332726
94,10,94015,4.9154606
95,10,32892,4.83835
96,10,71379,4.8008375
97,10,4703,4.759643
98,10,185029,4.7526336
99,10,5075,4.72948
100,11,7767,5.5176945
101,11,33090,5.493979
102,11,136469,5.400758
103,11,33649,5.377592
104,11,5416,5.3166842
105,11,5328,5.3166842
106,11,3951,5.3166842
107,11,4617,5.28149
108,11,7121,5.263664
109,11,132333,5.249008
110,12,67618,6.389692
111,12,93008,6.355196
112,12,77846,6.355196
113,12,25906,6.355196
114,12,3086,6.074315
115,12,5867,6.0717926
116,12,935,5.9882236
117,12,104875,5.954528
118,12,1939,5.9357414
119,12,33090,5.9116583
120,13,3379,5.677642
121,13,6818,5.67449
122,13,1696,5.5597754
123,13,60943,5.433688
124,13,59018,5.433688
125,13,8477,5.33987
126,13,40491,5.2939363
127,13,184245,5.2756834
128,13,179135,5.2756834
129,13,138966,5.2756834
130,14,25947,5.561952
131,14,4789,5.4930444
132,14,26326,5.360989
133,14,132333,4.9258666
134,14,5490,4.9258666
135,14,3266,4.905172
136,14,2936,4.8945317
137,14,3925,4.8727407
138,14,7815,4.8231616
139,14,6184,4.820289
140,15,5075,5.5272126
141,15,213,5.392209
142,15,89939,5.1311107
143,15,26681,5.0473695
144,15,3200,5.021282
145,15,47423,4.95005
146,15,4802,4.9435725
147,15,4794,4.9269056
148,15,112804,4.9077716
149,15,89904,4.900277
150,16,6818,4.7712674
151,16,3379,4.6277757
152,16,33649,4.5515857
153,16,25947,4.5323076
154,16,8477,4.4633574
155,16,7767,4.452819
156,16,40491,4.444107
157,16,26326,4.425458
158,16,136469,4.421695
159,16,6201,4.409081
160,17,33649,5.2110806
161,17,3379,5.207884
162,17,7767,5.1693954
163,17,136469,5.123496
164,17,25947,5.0661526
165,17,5416,5.0329947
166,17,5328,5.0329947
167,17,3951,5.0329947
168,17,6442,5.0196643
169,17,6818,5.0034084
170,18,3379,5.088083
171,18,33649,5.04599
172,18,7767,4.9849453
173,18,136469,4.9726267
174,18,6818,4.874812
175,18,6442,4.855058
176,18,184245,4.8469353
177,18,179135,4.8469353
178,18,138966,4.8469353
179,18,134796,4.8469353
180,19,25947,4.1758914
181,19,6818,4.08112
182,19,26326,4.0749674
183,19,3379,4.0641947
184,19,4789,3.9857733
185,19,33649,3.933483
186,19,8477,3.8634863
187,19,3056,3.8576412
188,19,2037,3.8576412
189,19,7767,3.8501546
190,20,6818,5.957109
191,20,25947,5.916261
192,20,40491,5.7983775
193,20,3266,5.785299
194,20,26326,5.698911
195,20,8477,5.6908464
196,20,104875,5.6177926
197,20,53,5.5334506
198,20,7815,5.5181837
199,20,2936,5.5178185
200,21,3086,5.0305257
201,21,67618,4.9300604
202,21,112804,4.9161305
203,21,94070,4.8436003
204,21,5075,4.8289456
205,21,93008,4.7848716
206,21,77846,4.7848716
207,21,25906,4.7848716
208,21,391,4.709237
209,21,86320,4.7054567
210,22,70946,7.693506
211,22,4789,6.3237247
212,22,3525,6.268308
213,22,89118,6.2271066
214,22,26258,6.0047455
215,22,3235,5.7171745
216,22,26865,5.628616
217,22,2303,5.356138
218,22,1237,5.346657
219,22,3925,5.3370404
220,23,3379,4.791073
221,23,96004,4.5042133
222,23,89904,4.450669
223,23,72171,4.3957663
224,23,33649,4.3891044
225,23,6201,4.3748355
226,23,4495,4.3748355
